,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid_price
0,AAPL260902C00230000,2026-09-01 16:38:03+00:00,230.0,96.4,93.25,96.75,11.57,13.639043,32.0,17,4.285160893554687,True,REGULAR,USD,95.0
1,AAPL260902C00245000,2026-09-01 16:13:02+00:00,245.0,81.2,78.2,81.65,8.799995,12.154689,12.0,4,3.5849619750976567,True,REGULAR,USD,79.92500000000001
4,AAPL260902C00260000,2026-09-01 16:52:28+00:00,260.0,65.0,63.3,66.7,3.540001,5.7598453,12.0,21,2.9931665795898432,True,REGULAR,USD,65.0
7,AAPL260902C00275000,2026-09-01 17:24:03+00:00,275.0,50.28,48.2,51.65,16.96,50.900356,28.0,2,2.372074382324218,True,REGULAR,USD,49.925
8,AAPL260902C00277500,2026-09-01 17:24:03+00:00,277.5,47.88,45.7,49.25,12.790001,36.449135,24.0,17,2.311527658691406,True,REGULAR,USD,47.475
10,AAPL260902C00282500,2026-09-01 19:16:36+00:00,282.5,42.98,40.8,44.4,10.25,31.316835,71.0,34,2.164555369873047,True,REGULAR,USD,42.599999999999994
11,AAPL260902C00285000,2026-09-01 19:16:36+00:00,285.0,40.5,38.25,41.65,11.110001,37.801975,65.0,37,1.9780274536132816,True,REGULAR,USD,39.95
14,AAPL260902C00292500,2026-09-01 19:50:53+00:00,292.5,33.3,31.2,33.7,9.029999,37.20642,20.0,39,1.5283226708984374,True,REGULAR,USD,32.45
15,AAPL260902C00295000,2026-09-01 16:54:29+00:00,295.0,30.82,28.3,31.2,5.5699997,22.059406,14.0,61,1.4345731396484376,True,REGULAR,USD,29.75
16,AAPL260902C00297500,2026-09-01 18:01:25+00:00,297.5,28.0,25.8,28.7,10.26,57.8354,21.0,42,1.341311887207031,True,REGULAR,USD,27.25
17,AAPL260902C00300000,2026-09-01 18:00:49+00:00,300.0,25.0,23.3,25.55,9.1,57.232708,20.0,89,0.99023447265625,True,REGULAR,USD,24.425
19,AAPL260902C00305000,2026-09-01 19:59:38+00:00,305.0,20.2,19.75,21.35,7.750001,62.24901,21.0,136,0.8261736132812498,True,REGULAR,USD,20.55
20,AAPL260902C00307500,2026-09-01 19:48:42+00:00,307.5,18.2,17.2,18.0,8.250001,82.91459,175.0,221,0.7216824707031251,True,REGULAR,USD,17.6
21,AAPL260902C00310000,2026-09-01 19:59:15+00:00,310.0,15.04,14.7,15.55,7.44,97.89474,757.0,4242,0.6596713720703126,True,REGULAR,USD,15.125
22,AAPL260902C00312500,2026-09-01 19:52:01+00:00,312.5,13.44,11.7,13.3,8.34,163.52943,914.0,2789,0.6547886083984377,True,REGULAR,USD,12.5
23,AAPL260902C00315000,2026-09-01 19:54:47+00:00,315.0,9.53,9.3,10.75,6.21,187.0482,9833.0,1753,0.5463912548828126,True,REGULAR,USD,10.025
24,AAPL260902C00317500,2026-09-01 19:59:33+00:00,317.5,7.69,7.4,8.0,5.91,332.02243,23711.0,5925,0.38184211914062494,True,REGULAR,USD,7.7
25,AAPL260902C00320000,2026-09-01 19:59:54+00:00,320.0,5.5,5.3,5.7,4.42,409.25928,80760.0,6177,0.336920693359375,True,REGULAR,USD,5.5
26,AAPL260902C00322500,2026-09-01 19:59:57+00:00,322.5,3.4,3.25,3.5,2.8400002,507.1429,113326.0,4792,0.28125718749999995,True,REGULAR,USD,3.375
27,AAPL260902C00325000,2026-09-01 19:59:57+00:00,325.0,1.75,1.76,1.83,1.47,525.00006,228462.0,8751,0.25977302734375,True,REGULAR,USD,1.795
28,AAPL260902C00327500,2026-09-01 19:59:58+00:00,327.5,0.78,0.77,0.81,0.64,457.1429,167353.0,2485,0.2561109545898438,False,REGULAR,USD,0.79
29,AAPL260902C00330000,2026-09-01 19:59:58+00:00,330.0,0.33,0.31,0.33,0.26000002,371.42865,144081.0,3595,0.2651440673828125,False,REGULAR,USD,0.32
30,AAPL260902C00332500,2026-09-01 19:59:52+00:00,332.5,0.12,0.12,0.14,0.06999999,139.99997,56743.0,1207,0.2836985693359374,False,REGULAR,USD,0.13
31,AAPL260902C00335000,2026-09-01 19:59:57+00:00,335.0,0.06,0.05,0.07,0.04,200.0,31887.0,1217,0.31055376953124997,False,REGULAR,USD,0.060000000000000005
32,AAPL260902C00337500,2026-09-01 19:59:52+00:00,337.5,0.03,0.02,0.04,0.02,200.0,11928.0,238,0.34180345703125,False,REGULAR,USD,0.03
33,AAPL260902C00340000,2026-09-01 19:59:56+00:00,340.0,0.02,0.01,0.02,0.01,100.0,10723.0,399,0.3632876171875,False,REGULAR,USD,0.015
34,AAPL260902C00342500,2026-09-01 19:59:31+00:00,342.5,0.02,0.01,0.02,0.01,100.0,2248.0,687,0.414068359375,False,REGULAR,USD,0.015
35,AAPL260902C00345000,2026-09-01 19:43:35+00:00,345.0,0.01,0.0,0.02,0.0,0.0,1833.0,269,0.46484910156250003,False,REGULAR,USD,0.01
36,AAPL260902C00347500,2026-09-01 17:00:34+00:00,347.5,0.01,0.0,0.02,0.0,0.0,193.0,17,0.51562984375,False,REGULAR,USD,0.01
37,AAPL260902C00350000,2026-09-01 19:59:32+00:00,350.0,0.01,0.0,0.01,-0.01,-50.0,235.0,194,0.523442265625,False,REGULAR,USD,0.005
38,AAPL260902C00355000,2026-09-01 16:02:27+00:00,355.0,0.01,0.0,0.01,-0.02,-66.66667,11.0,41,0.5625043750000001,False,REGULAR,USD,0.005
39,AAPL260902C00360000,2026-08-26 17:33:48+00:00,360.0,0.01,0.0,0.01,0.0,0.0,15.0,17,0.6562534375000001,False,REGULAR,USD,0.005
40,AAPL260902C00365000,2026-09-01 17:01:33+00:00,365.0,0.01,0.0,0.01,-0.09,-90.0,45.0,4,0.73437765625,False,REGULAR,USD,0.005
